country,number,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized,key_head_x_normalized,key_head_y_normalized,key_head_z_normalized,key_left_hand_x_normalized,key_left_hand_y_normalized,key_left_hand_z_normalized,key_right_hand_x_normalized,key_right_hand_y_normalized,key_right_hand_z_normalized,key_left_arm_x_normalized,key_left_arm_y_normalized,key_left_arm_z_normalized,key_right_arm_x_normalized,key_right_arm_y_normalized,key_right_arm_z_normalized,key_left_leg_x_normalized,key_left_leg_y_normalized,key_left_leg_z_normalized,key_right_leg_x_normalized,key_right_leg_y_normalized,key_right_leg_z_normalized,key_body_x_normalized,key_body_y_normalized,key_body_z_normalized,key_left_foot_x_normalized,key_left_foot_y_normalized,key_left_foot_z_normalized,key_right_foot_x_normalized,key_right_foot_y_normalized,key_right_foot_z_normalized,key_head_x_raw,key_head_y_raw,key_head_z_raw,key_left_hand_x_raw,key_left_hand_y_raw,key_left_hand_z_raw,key_right_hand_x_raw,key_right_hand_y_raw,key_right_hand_z_raw,key_left_arm_x_raw,key_left_arm_y_raw,key_left_arm_z_raw,key_right_arm_x_raw,key_right_arm_y_raw,key_right_arm_z_raw,key_left_leg_x_raw,key_left_leg_y_raw,key_left_leg_z_raw,key_right_leg_x_raw,key_right_leg_y_raw,key_right_leg_z_raw,key_body_x_raw,key_body_y_raw,key_body_z_raw,key_left_foot_x_raw,key_left_foot_y_raw,key_left_foot_z_raw,key_right_foot_x_raw,key_right_foot_y_raw,key_right_foot_z_raw
Indonesia,42,54.54545,30.76923,43.24324,2.15054,49.27536,89.0625,5.66038,91.93548,47.35574,15.48362,78.82839,0.0,40.83819,51.36553,39.87118,31.11728,78.84359,9.01192,28.98586,66.86044,61.08783,25.76661,64.49742,64.79754,74.70946,100.0,80.31645,68.43069,43.6629,50.91934,15.71916,65.50552,69.54519,73.96842,93.17978,80.45013,76.56692,39.77122,-0.6849571,-2.3934338,-0.3914506,-2.1911083,0.0477998,-0.4260134,-0.1347431,-2.1650991,-0.1398247,-1.2735187,-0.7754588,-0.4825791,0.5425625,-1.6303862,-0.3157173,0.0713622,1.1500749,1.0600507,1.0943747,1.0970598,-0.5637152,-0.1467277,-0.9129194,-0.0643932,-0.1300051,2.8858526,1.6838011,1.0428089,3.1083613,-0.5733294
Indonesia,43,45.45455,30.76923,50.0,2.15054,27.53623,89.0625,13.20755,91.93548,65.72776,20.39531,65.71751,56.70944,32.04204,42.37076,29.80796,41.67906,72.14579,61.27916,25.89919,60.41704,37.40041,31.1538,65.20495,66.48412,75.98387,53.16839,43.10364,65.54101,68.91566,65.37405,18.22476,59.02123,70.40433,70.93119,66.98582,59.60946,70.27437,70.49544,0.1335951,-1.6694849,-1.2342853,1.2637403,-1.4574074,-1.056474,-0.663022,-0.4129903,-0.4849262,1.3834289,-1.1883407,-0.8162763,-0.5253139,-0.938536,-0.2830801,0.1571249,1.2569356,-0.086953,-0.3800513,0.8733929,0.0645553,0.1504495,-0.7542831,-0.2142639,-0.0289725,2.4927795,0.586392,-0.5784255,2.0965647,0.6498638
Indonesia,44,40.0,30.76923,43.24324,2.15054,27.53623,81.25,13.20755,83.87097,66.55831,18.27221,67.96857,59.71479,29.62086,45.53244,30.72152,42.64994,67.01426,60.16875,23.42323,67.10827,36.41476,32.36891,64.59699,66.28475,77.90418,59.71422,54.85822,68.41944,58.77221,63.02596,17.07074,64.41956,70.77816,72.59886,62.64664,69.61913,73.21947,49.39467,0.1705998,-1.9824155,-1.0895755,1.4468325,-1.8717231,-0.8348659,-0.6150639,-0.2519302,-0.749326,1.3269824,-1.519532,-0.4697443,-0.5697492,-0.7824854,-0.3111245,0.1469867,1.4179552,0.0733679,0.0856822,1.0961887,-0.1878064,0.1021747,-0.8273472,-0.0894928,0.0149893,2.7086064,0.4045997,0.2002448,2.5701157,-0.1902005
Indonesia,45,54.54545,24.35897,36.48649,2.15054,42.02899,81.25,13.20755,83.87097,71.93077,19.0838,65.06551,62.64235,29.75806,54.30971,48.09104,42.77413,63.2736,57.35929,25.46927,72.61259,44.04648,33.06207,54.88849,72.994,75.74778,65.81903,50.01095,64.27126,64.33738,62.13827,17.90674,59.63579,75.58513,70.85417,71.45503,60.92892,69.13433,72.95373,0.4099658,-1.8627922,-1.2761993,1.6251851,-1.8482446,-0.2196502,0.2967666,-0.2313285,-0.9420621,1.1841666,-1.245848,-0.1846808,-0.2256958,-0.6934672,-0.7589634,0.4881527,1.2371392,0.2228875,-0.1063734,0.7751127,-0.049349,0.0839246,-0.774418,-0.2000596,0.5802802,2.4828117,0.7736319,-0.4757824,1.9132553,0.7477334
Indonesia,46,54.54545,37.17949,50.0,2.15054,42.02899,89.0625,5.66038,91.93548,46.82515,19.52431,69.0084,40.17735,28.80733,33.63204,14.05613,44.11691,71.59893,50.7442,23.01093,47.07475,34.57457,33.93936,65.84321,78.70575,73.35465,44.13172,44.65069,66.53998,76.11574,56.71909,18.26558,58.7682,83.04406,70.32677,47.4247,60.76538,71.81298,67.38197,-0.7085975,-1.7978637,-1.0227301,0.2565737,-2.0109348,-1.6689874,-1.4899298,-0.0085735,-0.5131029,0.8478957,-1.5746817,-1.5072606,-0.6527087,-0.5808005,-0.253638,0.7785952,1.0364732,-0.3082801,-0.3187548,0.9507153,0.2436883,-0.0274895,-0.7516988,-0.2201121,1.4574354,2.4145558,-0.2331312,-0.4885049,2.3439622,0.5259104
Indonesia,47,63.63636,24.35897,36.48649,2.15054,42.02899,89.0625,69.81132,91.93548,81.83105,14.90434,73.68851,54.69342,39.25705,62.48727,41.59096,43.18143,69.40814,50.49202,26.99023,86.07917,47.84436,30.85889,57.5413,69.52034,81.21389,76.82588,54.51179,73.12207,54.99765,70.12964,13.51446,68.40833,73.54479,76.78076,77.80596,66.31528,76.93198,56.86407,0.8510661,-2.4788164,-0.7218683,1.1409209,-0.2227675,0.3535299,-0.0444617,-0.1637604,-0.6259824,0.8350767,-1.0424002,0.5127404,-0.0544799,-0.9764102,-0.6365931,0.3115165,1.6954779,0.4924681,0.0719564,1.4601804,-0.2817147,0.2482206,-1.0525049,0.0026991,0.34034,3.2498213,1.0397071,-0.0567675,3.167061,0.1071713
Indonesia,48,63.63636,64.10256,16.21622,78.49462,78.26087,20.3125,0.0,83.87097,68.39857,0.0,64.93416,9.15111,34.65611,51.58596,85.29871,23.84612,49.28614,20.05206,20.19015,71.78819,82.5106,14.36359,54.70209,49.23625,92.53614,74.08549,100.0,84.60596,50.12938,68.83703,0.05451,73.07468,45.91417,91.77348,63.11055,100.0,93.69967,49.36735,0.2525914,-4.6756141,-1.2846432,-1.633605,-1.0100848,-0.4105635,2.2500197,-3.3713232,-1.6627607,-0.7123054,-1.9519975,-0.2273754,1.508344,-3.0948198,-0.7675616,-0.7199305,2.644859,0.4253504,1.8742656,2.3490537,-0.4028337,0.2216456,-1.9046896,0.1105521,-2.9089681,5.1901551,0.4240353,2.5636296,5.8631858,-0.191288
Indonesia,49,54.54545,51.28205,9.45946,73.11828,78.26087,20.3125,0.0,83.87097,58.84264,19.9597,64.05399,68.21805,36.67304,51.58697,19.90935,41.19799,63.69208,57.97218,27.23832,67.3422,30.9371,32.35482,60.77113,89.9932,69.35889,37.02008,26.46171,59.74892,48.40026,59.2891,19.06055,59.86106,88.68521,67.08555,42.85534,49.30796,69.22226,56.39671,-0.1731666,-1.73369,-1.3412246,1.9648672,-0.6649463,-0.4104921,-1.1826591,-0.4927967,-0.9205001,1.2153223,-1.0092151,-0.4576291,-0.8166931,-0.7842957,-0.4876057,1.3525632,0.7014253,-0.4824589,-1.039429,0.4250751,-0.4458532,0.0253479,-0.7013673,-0.1948531,2.1208233,1.9950828,-0.424567,-1.379799,1.9273927,0.0885648
Indonesia,50,63.63636,37.17949,9.45946,29.03226,78.26087,73.4375,0.0,83.87097,81.28892,11.7431,88.66137,49.10144,33.73325,65.77072,40.22883,40.00269,93.70333,53.55937,26.89022,80.10844,52.28718,29.58099,93.82108,53.85289,74.67555,8.93832,33.7685,64.9252,30.11491,82.08415,14.09298,86.72654,68.60747,75.39588,22.62254,61.394,73.9886,29.41592,0.8269119,-2.9447615,0.2406646,0.8002464,-1.1680056,0.5836735,-0.1159681,-0.6910865,0.6258177,0.9910018,-1.0557769,0.2035219,0.1458115,-1.1405248,1.0369396,-0.4851739,1.1472317,-1.1702398,-0.7499232,0.8257283,-0.9007795,0.4939958,-1.0158774,0.4260864,-0.2402795,3.0705915,-1.2722303,-0.4396035,2.6937867,-0.985595
Indonesia,51,54.54545,70.51282,78.37838,83.87097,49.27536,28.125,0.0,91.93548,60.88319,17.62649,68.91899,45.18867,27.79198,45.41492,34.02268,31.39073,58.4216,54.01278,21.54359,58.0696,29.16254,24.82354,51.00898,78.60311,74.05056,59.9853,32.40351,67.16602,52.54972,59.545,16.4018,60.87873,81.9582,71.72726,59.83657,50.64654,72.30721,49.74536,-0.082251,-2.0775903,-1.0284773,0.5618728,-2.184683,-0.8431034,-0.4417658,-2.119737,-1.1920594,1.0140507,-1.7709571,-0.9378483,-0.8966938,-1.7515005,-0.9379194,0.7733763,1.0948259,0.0800072,-0.804006,0.9991717,-0.3426176,0.030609,-0.8696994,-0.1713318,1.3297404,2.5958051,0.2868703,-1.2756684,2.4234315,-0.1762388
Indonesia,52,54.54545,64.10256,58.10811,2.15054,42.02899,81.25,0.0,83.87097,78.90501,25.36658,74.96391,55.60879,32.73529,50.93352,35.54294,47.89223,72.47282,56.81064,27.32527,68.68866,43.89324,37.96478,65.3521,69.30967,66.01645,31.0959,50.26456,57.19571,15.61259,69.55511,20.53804,67.79333,72.15915,67.64604,46.35722,63.81979,69.99021,30.73732,0.7206983,-0.9367533,-0.6398791,1.1966868,-1.3387787,-0.4562941,-0.3619587,0.6177204,-0.4680762,1.1562765,-0.9975835,-0.3878973,-0.2326041,-0.0638368,-0.2762923,0.3008041,0.4211581,-0.6275544,-0.0963252,0.2274523,-1.2615869,0.2364089,-0.6078232,-0.0115151,0.1773906,2.0676204,-0.2778537,-0.2508964,2.0508743,-0.9329874
Indonesia,53,52.72727,24.35897,50.0,7.52688,34.78261,81.25,0.0,83.87097,64.19029,20.67382,84.71527,47.97078,36.03205,65.3117,30.88218,35.06643,88.04805,49.16643,28.82265,85.60379,30.31502,27.79055,81.46359,82.24875,66.27743,26.74154,30.61884,61.48032,37.66522,56.84284,20.42628,83.3564,80.27277,66.19652,39.75324,42.43294,70.12592,29.28647,0.0650942,-1.628434,-0.0130116,0.7313646,-0.774633,0.5514998,-0.6066298,-1.5099702,0.3344317,0.7676918,-0.7972907,0.4881207,-0.8447375,-1.3704623,0.4669069,0.958757,0.443042,-0.7342017,-0.8747173,0.5590885,-0.7129332,-0.0249453,-0.6148992,0.3481926,1.1315365,1.8800259,-0.5545311,-1.9146194,2.0726958,-0.9907486
Indonesia,54,100.0,64.10256,9.45946,7.52688,92.75362,96.875,98.11321,100.0,56.63403,19.07363,69.49749,63.81261,32.19499,55.64,17.94565,31.1447,62.52147,52.02055,24.72305,73.79524,19.01834,25.40459,58.15269,87.76966,63.1581,53.43395,52.70702,68.60514,57.8357,51.6508,17.60822,63.92126,83.49501,62.23512,63.345,67.40425,72.70464,51.97527,-0.2715695,-1.8642917,-0.9912888,1.6964794,-1.4312346,-0.126408,-1.2857456,-2.1605507,-0.9808155,0.9127776,-1.3456642,-0.1234324,-1.3540148,-1.6768791,-0.6083906,1.2394958,0.1814829,-0.0804491,0.0004486,1.1105623,-0.2111061,-0.1316895,-0.7933181,-0.10101,1.5104662,1.3673481,0.4338579,0.0279457,2.4873345,-0.0874617
Indonesia,55,72.72727,70.51282,9.45946,7.52688,78.26087,89.0625,0.0,91.93548,71.31619,4.14355,66.05546,1.49985,18.06295,52.52264,19.75632,17.02074,50.54521,22.86007,8.81038,62.94636,39.88256,7.83531,52.11482,77.64045,88.70351,41.96229,20.1679,75.09509,48.35892,65.9279,0.0,67.90854,90.03085,91.9972,48.71966,23.22149,87.55441,44.42505,0.3825837,-4.0648838,-1.2125602,-2.0997343,-3.8495255,-0.3449097,-1.1906928,-4.5035939,-1.5978874,-0.5695634,-3.4741859,-0.6852855,-0.4134138,-3.9332138,-0.8869083,0.7244249,2.3234892,-0.361414,-1.2887989,1.6128959,-0.4468815,0.1618362,-1.9081408,-0.0088523,2.279068,5.2191081,-0.178878,-3.4091137,4.8750708,-0.3880512
Indonesia,56,20.0,16.66667,91.89189,94.62366,20.28986,20.3125,0.0,75.80645,59.06218,20.96912,60.62195,39.68267,33.69731,38.75315,37.97974,36.69416,46.0854,49.87916,27.1026,52.82116,29.59096,31.34167,40.84689,91.35988,63.1595,37.88221,33.18828,63.71488,55.02555,55.23387,19.5956,53.28359,90.4964,63.72403,43.01416,43.39682,67.91057,55.77426,-0.1633852,-1.5849091,-1.5618539,0.2264366,-1.1741563,-1.3100392,-0.2340361,-1.2399437,-1.8276774,0.8039223,-1.027369,-1.2096598,-0.8773797,-0.9144089,-1.4066815,1.4220586,0.1816006,-0.4613436,-0.7729122,0.7320474,-0.2810205,-0.0580245,-0.6674917,-0.3468775,2.3338164,1.5600399,-0.417913,-1.8396371,1.7164833,0.063784
Indonesia,57,29.09091,17.94872,78.37838,35.48387,20.28986,57.8125,0.0,75.80645,60.10442,26.16187,55.9702,41.68297,38.24603,40.10124,35.23365,44.27402,59.09607,52.88479,32.05492,53.89318,30.79998,35.89221,50.51343,78.78473,67.2146,43.1308,42.50886,61.84365,57.77215,59.66398,22.16024,48.31651,74.13717,63.11704,64.27115,57.44668,65.90064,73.5286,-0.1169489,-0.8195333,-1.8608924,0.3482987,-0.395774,-1.2155493,-0.3781952,0.0174902,-1.1573076,0.9567104,-0.3649334,-1.1541409,-0.8228745,-0.3300058,-0.9607783,0.7826117,0.5216242,-0.3327947,-0.4036174,0.5872111,-0.2126871,0.0330551,-0.5051178,-0.4616812,0.4100028,1.4814842,0.4726593,-0.7466724,1.3933012,0.7706202
Laos,01,10.90909,12.82051,63.51351,59.13978,2.89855,34.375,0.0,45.16129,54.06961,16.50919,62.13574,47.63518,35.79308,53.23119,35.84958,42.36534,60.4627,44.95163,26.12197,73.81142,28.0302,33.76816,56.97048,73.32461,78.72499,68.35702,58.94117,69.29422,65.26421,51.38992,16.55596,60.42117,77.08666,72.58489,69.88719,74.3482,73.18555,57.8672,-0.3858253,-2.2422714,-1.4645397,0.7109188,-0.8155252,-0.2952459,-0.3458612,-0.2991425,-1.0868929,0.5534368,-1.1585406,-0.1225944,-0.9477419,-0.6027868,-0.662924,0.5049643,1.4867811,0.285048,0.2474547,1.1638983,-0.02629,-0.1370528,-0.8599398,-0.1819074,0.756857,2.7067984,0.7079461,0.5681283,2.5646621,0.1471082
Laos,02,29.09091,8.97436,6.75676,78.49462,53.62319,15.625,9.43396,51.6129,64.23733,20.66798,59.05574,58.20652,42.12445,48.29033,21.07284,41.69403,65.27318,52.0064,32.35179,61.3453,35.88186,32.92118,57.33864,67.14598,75.19744,67.06167,51.07052,66.44214,72.06193,63.80638,21.21519,51.83799,71.01803,68.20349,73.85156,62.51732,69.54865,69.88759,0.0671903,-1.6292951,-1.662538,1.3549456,0.2679062,-0.6415604,-1.1215805,-0.4105073,-0.8390347,0.9120584,-0.3252236,-0.7682026,-0.5937731,-0.7115613,-0.6459413,0.1907805,1.1909926,0.2533224,-0.0643918,0.9431419,0.1428324,0.1182196,-0.5649515,-0.3802894,0.0431979,2.1397643,0.8740358,-0.3522182,1.9798745,0.6256641
